               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.025344,            0.024481,           0.0024165,             0.76043,             0.66137,             0.73487,             0.46118,            0.025821,            0.023243,           0.0034725,            0.004654,            0.004654,            0.004654
                  56,            0.024598,            0.024545,           0.0023967,             0.76441,             0.69486,             0.74679,             0.47286,            0.025499,            0.022892,            0.003601,            0.004555,            0.004555,            0.004555
                  57,            0.025167,             0.02554,           0.0023944,             0.81843,             0.66767,             0.72271,             0.46563,            0.024803,            0.023267,           0.0037542,            0.004456,            0.004456,            0.004456
                  58,            0.025195,              0.0249,           0.0023775,             0.79201,             0.68596,             0.73601,             0.47687,            0.025019,             0.02282,           0.0040104,            0.004357,            0.004357,            0.004357
                  59,            0.024792,            0.024491,           0.0024971,             0.81376,             0.68714,             0.74178,             0.47155,            0.025634,             0.02307,           0.0036156,            0.004258,            0.004258,            0.004258
                  60,            0.024233,            0.025272,           0.0018942,             0.87117,             0.68438,             0.76073,             0.49616,            0.024817,            0.022743,            0.003351,            0.004159,            0.004159,            0.004159
                  61,            0.023612,            0.024216,           0.0020966,              0.8106,             0.71168,             0.76534,             0.49014,            0.025488,            0.023226,           0.0033667,             0.00406,             0.00406,             0.00406
                  62,            0.023843,            0.024057,            0.001892,             0.75782,             0.73188,             0.76406,             0.49328,            0.025195,            0.023528,           0.0035053,            0.003961,            0.003961,            0.003961
                  63,            0.023696,            0.023574,           0.0016864,             0.71437,             0.75685,             0.74994,             0.48183,            0.024929,            0.023207,           0.0035424,            0.003862,            0.003862,            0.003862
                  64,            0.023262,            0.024713,           0.0017727,             0.75038,             0.70878,             0.75456,             0.48243,            0.025131,            0.023132,           0.0037359,            0.003763,            0.003763,            0.003763
                  65,            0.023183,            0.023103,           0.0017815,             0.79354,             0.67367,             0.74057,             0.48574,            0.024287,            0.023224,           0.0039737,            0.003664,            0.003664,            0.003664
                  66,            0.023139,             0.02399,           0.0015876,             0.77395,             0.69069,             0.75321,             0.49099,            0.024581,            0.023684,           0.0038357,            0.003565,            0.003565,            0.003565
                  67,            0.022826,            0.022542,           0.0017534,              0.6997,             0.76494,             0.76239,             0.48777,             0.02497,             0.02351,           0.0036451,            0.003466,            0.003466,            0.003466
                  68,            0.022652,            0.024621,           0.0016432,             0.85084,             0.69139,             0.76375,              0.4827,            0.024765,            0.023516,           0.0037087,            0.003367,            0.003367,            0.003367
                  69,            0.022715,             0.02417,           0.0017065,             0.78008,             0.70932,             0.74753,             0.49073,            0.024558,            0.023384,           0.0042175,            0.003268,            0.003268,            0.003268
                  70,            0.021989,            0.024335,           0.0014828,             0.81787,             0.71277,             0.77157,             0.51308,            0.024443,            0.023416,           0.0038288,            0.003169,            0.003169,            0.003169
                  71,            0.022155,            0.023428,           0.0017573,             0.71109,             0.74481,             0.76349,             0.50107,            0.024191,            0.023483,           0.0034278,             0.00307,             0.00307,             0.00307
                  72,            0.021897,            0.022658,           0.0014354,             0.84893,             0.65397,             0.75866,             0.49875,            0.024516,            0.024029,           0.0035496,            0.002971,            0.002971,            0.002971
                  73,            0.021892,             0.02303,           0.0014442,             0.71623,             0.73999,             0.75528,             0.48969,            0.024519,            0.023535,           0.0036695,            0.002872,            0.002872,            0.002872
                  74,            0.021795,            0.023154,           0.0013835,             0.73601,             0.73734,             0.76444,             0.50064,            0.024854,            0.023412,           0.0036429,            0.002773,            0.002773,            0.002773
                  75,            0.022053,            0.025168,           0.0014364,             0.80001,             0.70789,             0.76157,             0.50459,            0.024352,            0.023592,             0.00365,            0.002674,            0.002674,            0.002674
                  76,            0.022158,            0.024019,           0.0013726,             0.81822,             0.67849,             0.75407,             0.49397,            0.024697,            0.023777,           0.0036024,            0.002575,            0.002575,            0.002575
                  77,            0.021118,            0.022399,           0.0012994,             0.73544,             0.76273,             0.76569,             0.50312,            0.024502,            0.023953,           0.0033806,            0.002476,            0.002476,            0.002476
                  78,            0.020963,            0.022635,           0.0012047,              0.7877,             0.70292,             0.76116,             0.49854,            0.024439,            0.024059,           0.0035588,            0.002377,            0.002377,            0.002377
                  79,            0.020946,            0.022451,           0.0013124,             0.71764,             0.75398,             0.76765,             0.50619,              0.0244,            0.023968,           0.0036003,            0.002278,            0.002278,            0.002278
                  80,            0.021126,            0.021981,           0.0014164,             0.73602,             0.73933,             0.76021,             0.50721,            0.024597,            0.024042,           0.0037253,            0.002179,            0.002179,            0.002179
                  81,             0.02033,            0.023106,            0.001076,             0.82865,             0.66335,             0.75141,             0.49136,            0.024185,            0.024153,           0.0036228,             0.00208,             0.00208,             0.00208
                  82,            0.020391,            0.023647,           0.0012044,             0.69406,             0.76145,             0.75916,              0.5018,            0.023973,            0.023709,           0.0039666,            0.001981,            0.001981,            0.001981
                  83,            0.020615,            0.022848,           0.0012583,             0.72895,             0.76815,             0.76371,             0.50242,            0.023981,            0.023838,           0.0036732,            0.001882,            0.001882,            0.001882
                  84,            0.020456,            0.022316,           0.0010769,             0.77606,             0.71588,             0.76715,             0.50231,            0.024245,            0.023966,           0.0039259,            0.001783,            0.001783,            0.001783
                  85,            0.020382,             0.02228,          0.00098461,             0.81679,             0.68849,             0.76216,             0.50452,            0.023958,            0.023883,           0.0039526,            0.001684,            0.001684,            0.001684
                  86,             0.02002,            0.022349,          0.00095522,             0.83541,             0.68287,             0.76311,             0.50325,            0.024233,            0.024013,           0.0037251,            0.001585,            0.001585,            0.001585
                  87,            0.020476,            0.024026,           0.0011467,             0.81641,             0.70348,             0.76641,             0.50287,            0.024454,            0.023857,           0.0038143,            0.001486,            0.001486,            0.001486
                  88,            0.019643,            0.022297,           0.0011312,             0.82056,             0.71272,             0.76613,             0.51176,            0.024201,            0.024164,            0.003861,            0.001387,            0.001387,            0.001387
                  89,            0.019586,            0.020535,           0.0010165,             0.85643,             0.69721,             0.77488,             0.51195,            0.024329,            0.024419,            0.003713,            0.001288,            0.001288,            0.001288
                  90,            0.020174,             0.02329,           0.0010104,             0.76667,             0.77192,             0.78038,                0.52,            0.024368,            0.024338,            0.003676,            0.001189,            0.001189,            0.001189
                  91,            0.019734,            0.021875,           0.0010828,             0.79122,              0.6883,             0.76248,             0.50497,             0.02404,            0.024148,           0.0038667,             0.00109,             0.00109,             0.00109
                  92,             0.01929,            0.021109,           0.0011402,             0.75315,             0.71731,             0.75623,             0.50067,            0.024346,            0.024571,            0.004095,            0.000991,            0.000991,            0.000991
                  93,            0.019573,            0.021543,          0.00099381,             0.80695,             0.68712,             0.75233,              0.4984,            0.024235,            0.024321,           0.0041934,            0.000892,            0.000892,            0.000892
                  94,            0.019293,            0.020917,          0.00099989,             0.79505,             0.71234,             0.76379,             0.50333,            0.024166,            0.024298,           0.0041008,            0.000793,            0.000793,            0.000793
                  95,            0.019519,            0.021193,          0.00098316,             0.79407,             0.69003,             0.76487,             0.50153,             0.02421,            0.024354,           0.0039592,            0.000694,            0.000694,            0.000694
                  96,            0.019805,            0.022711,           0.0010625,             0.79224,             0.68956,             0.76254,             0.50422,            0.024184,            0.024406,           0.0039863,            0.000595,            0.000595,            0.000595
                  97,            0.019245,            0.021676,          0.00086221,              0.7765,             0.71813,             0.76201,             0.50865,            0.024129,            0.024395,           0.0039897,            0.000496,            0.000496,            0.000496
                  98,             0.01917,            0.022184,          0.00098554,             0.78579,             0.70189,             0.76153,             0.50538,            0.024217,            0.024483,           0.0040683,            0.000397,            0.000397,            0.000397
                  99,            0.019271,             0.02275,          0.00097962,             0.79158,             0.69394,             0.75963,             0.50872,             0.02402,            0.024462,            0.004053,            0.000298,            0.000298,            0.000298
